Trial,Seed,MUTATION_RATE,PHASE2_MUTATION_RATE,CROSSOVER_RATE,POPULATION_SIZE,TOURNAMENT_SIZE,phase1MaxDepth,phase2MaxDepth,BestFitness,AverageFitness,FitnessVariance
8,5656656,0.05323494072821867,0.09402568778549954,0.6068659619288904,200,3,4,5,206.0,105.73083333333331,4538.112896527778
9,5656656,0.04976071653892278,0.03803591614621028,0.7246598931825134,200,3,5,7,206.0,113.11333333333332,4292.993266666668
10,5656656,0.04800043297921176,0.06035646010236645,0.7080586058943896,200,10,5,7,94.5,72.35166666666667,138.19660833333336
11,5656656,0.09747800431646299,0.027138810063640037,0.8245596615960087,200,6,5,8,127.0,107.97166666666669,268.9904472222222
1,5656656,0.017719930477467425,0.08361376906894717,0.7668455842885081,200,10,3,7,261.0,138.90666666666667,6809.532400000004
2,5656656,0.09917782526180555,0.01253408191080765,0.632947485114586,200,5,4,7,112.0,71.3541666666667,304.70519097222206
3,5656656,0.06871983728384969,0.09169100009322328,0.8874627672167987,200,10,5,8,102.0,73.66083333333334,316.55059097222244
4,5656656,0.03586714568675004,0.0911238027094559,0.609400590604329,200,3,3,5,196.0,75.12916666666665,432.429357638889
5,5656656,0.06755774753766194,0.02380933864529885,0.7987404436652478,200,5,5,6,296.0,161.0583333333333,14690.674652777789
6,5656656,0.0955361194374691,0.0299314838094982,0.799368012339803,200,3,4,5,411.0,210.57083333333333,18185.167829861115
7,5656656,0.0979188525792277,0.07771606811885559,0.6064489472161058,200,4,5,7,251.0,125.34166666666664,5203.873541666664
8,5656656,0.05323494072821867,0.09402568778549954,0.6068659619288904,200,3,4,5,206.0,105.73083333333331,4538.112896527778
9,5656656,0.04976071653892278,0.03803591614621028,0.7246598931825134,200,3,5,7,206.0,113.11333333333332,4292.993266666668
10,5656656,0.04800043297921176,0.06035646010236645,0.7080586058943896,200,10,5,7,94.5,72.35166666666667,138.19660833333336
11,5656656,0.09747800431646299,0.027138810063640037,0.8245596615960087,200,6,5,8,127.0,107.97166666666669,268.9904472222222
12,5656656,0.06471344713022423,0.06300456480578628,0.9678104035862827,200,3,3,6,107.0,84.32666666666664,246.06120555555535
1,5656656,0.017719930477467425,0.08361376906894717,0.7668455842885081,200,10,3,7,261.0,138.90666666666667,6809.532400000004
2,5656656,0.09917782526180555,0.01253408191080765,0.632947485114586,200,5,4,7,112.0,71.3541666666667,304.70519097222206
3,5656656,0.06871983728384969,0.09169100009322328,0.8874627672167987,200,10,5,8,102.0,73.66083333333334,316.55059097222244
4,5656656,0.03586714568675004,0.0911238027094559,0.609400590604329,200,3,3,5,196.0,75.12916666666665,432.429357638889
5,5656656,0.06755774753766194,0.02380933864529885,0.7987404436652478,200,5,5,6,296.0,161.0583333333333,14690.674652777789
6,5656656,0.0955361194374691,0.0299314838094982,0.799368012339803,200,3,4,5,411.0,210.57083333333333,18185.167829861115
7,5656656,0.0979188525792277,0.07771606811885559,0.6064489472161058,200,4,5,7,251.0,125.34166666666664,5203.873541666664
8,5656656,0.05323494072821867,0.09402568778549954,0.6068659619288904,200,3,4,5,206.0,105.73083333333331,4538.112896527778
9,5656656,0.04976071653892278,0.03803591614621028,0.7246598931825134,200,3,5,7,206.0,113.11333333333332,4292.993266666668
10,5656656,0.04800043297921176,0.06035646010236645,0.7080586058943896,200,10,5,7,94.5,72.35166666666667,138.19660833333336
11,5656656,0.09747800431646299,0.027138810063640037,0.8245596615960087,200,6,5,8,127.0,107.97166666666669,268.9904472222222
12,5656656,0.06471344713022423,0.06300456480578628,0.9678104035862827,200,3,3,6,107.0,84.32666666666664,246.06120555555535
13,5656656,0.03569427621546731,0.07690328342056746,0.8690222120693828,200,5,2,5,107.0,76.52250000000002,272.5797020833333
1,5656656,0.017719930477467425,0.08361376906894717,0.7668455842885081,200,10,3,7,261.0,138.90666666666667,6809.532400000004
2,5656656,0.09917782526180555,0.01253408191080765,0.632947485114586,200,5,4,7,112.0,71.3541666666667,304.70519097222206
3,5656656,0.06871983728384969,0.09169100009322328,0.8874627672167987,200,10,5,8,102.0,73.66083333333334,316.55059097222244
4,5656656,0.03586714568675004,0.0911238027094559,0.609400590604329,200,3,3,5,196.0,75.12916666666665,432.429357638889
5,5656656,0.06755774753766194,0.02380933864529885,0.7987404436652478,200,5,5,6,296.0,161.0583333333333,14690.674652777789
6,5656656,0.0955361194374691,0.0299314838094982,0.799368012339803,200,3,4,5,411.0,210.57083333333333,18185.167829861115
7,5656656,0.0979188525792277,0.07771606811885559,0.6064489472161058,200,4,5,7,251.0,125.34166666666664,5203.873541666664
8,5656656,0.05323494072821867,0.09402568778549954,0.6068659619288904,200,3,4,5,206.0,105.73083333333331,4538.112896527778
9,5656656,0.04976071653892278,0.03803591614621028,0.7246598931825134,200,3,5,7,206.0,113.11333333333332,4292.993266666668
10,5656656,0.04800043297921176,0.06035646010236645,0.7080586058943896,200,10,5,7,94.5,72.35166666666667,138.19660833333336
11,5656656,0.09747800431646299,0.027138810063640037,0.8245596615960087,200,6,5,8,127.0,107.97166666666669,268.9904472222222
12,5656656,0.06471344713022423,0.06300456480578628,0.9678104035862827,200,3,3,6,107.0,84.32666666666664,246.06120555555535
13,5656656,0.03569427621546731,0.07690328342056746,0.8690222120693828,200,5,2,5,107.0,76.52250000000002,272.5797020833333
14,5656656,0.057616524834030104,0.018860404108360415,0.6896359007617104,200,3,2,7,161.0,72.58250000000001,268.1607631944446
1,5656656,0.017719930477467425,0.08361376906894717,0.7668455842885081,200,10,3,7,261.0,138.90666666666667,6809.532400000004
2,5656656,0.09917782526180555,0.01253408191080765,0.632947485114586,200,5,4,7,112.0,71.3541666666667,304.70519097222206
3,5656656,0.06871983728384969,0.09169100009322328,0.8874627672167987,200,10,5,8,102.0,73.66083333333334,316.55059097222244
4,5656656,0.03586714568675004,0.0911238027094559,0.609400590604329,200,3,3,5,196.0,75.12916666666665,432.429357638889
5,5656656,0.06755774753766194,0.02380933864529885,0.7987404436652478,200,5,5,6,296.0,161.0583333333333,14690.674652777789
6,5656656,0.0955361194374691,0.0299314838094982,0.799368012339803,200,3,4,5,411.0,210.57083333333333,18185.167829861115
7,5656656,0.0979188525792277,0.07771606811885559,0.6064489472161058,200,4,5,7,251.0,125.34166666666664,5203.873541666664
8,5656656,0.05323494072821867,0.09402568778549954,0.6068659619288904,200,3,4,5,206.0,105.73083333333331,4538.112896527778
9,5656656,0.04976071653892278,0.03803591614621028,0.7246598931825134,200,3,5,7,206.0,113.11333333333332,4292.993266666668
10,5656656,0.04800043297921176,0.06035646010236645,0.7080586058943896,200,10,5,7,94.5,72.35166666666667,138.19660833333336
11,5656656,0.09747800431646299,0.027138810063640037,0.8245596615960087,200,6,5,8,127.0,107.97166666666669,268.9904472222222
12,5656656,0.06471344713022423,0.06300456480578628,0.9678104035862827,200,3,3,6,107.0,84.32666666666664,246.06120555555535
13,5656656,0.03569427621546731,0.07690328342056746,0.8690222120693828,200,5,2,5,107.0,76.52250000000002,272.5797020833333
14,5656656,0.057616524834030104,0.018860404108360415,0.6896359007617104,200,3,2,7,161.0,72.58250000000001,268.1607631944446
15,5656656,0.04287489449599007,0.02874992724442379,0.6611778759967155,200,8,4,7,191.0,75.79583333333333,4733.401718749998
