Trial,Seed,MUTATION_RATE,PHASE2_MUTATION_RATE,CROSSOVER_RATE,POPULATION_SIZE,TOURNAMENT_SIZE,phase1MaxDepth,phase2MaxDepth,BestFitness,AverageFitness,FitnessVariance
1,56,0.07559360423593639,0.037864173724284245,0.7298222229569323,200,5,2,6,221.0,85.65333333333334,9112.069266666673
2,56,0.026128459281085904,0.037531018762779124,0.8902018701540515,200,4,4,5,311.0,139.59333333333333,14227.594066666657
3,56,0.023918021156272527,0.0702508979520299,0.9316439156230264,200,7,3,7,226.0,120.08833333333334,8157.592474999996
4,56,0.02122682534285799,0.09581009133354199,0.7891985435610096,200,8,2,7,119.5,76.18166666666666,343.4986638888889
5,56,0.024154761804337205,0.06932109891045293,0.8604556419204212,200,6,3,5,112.0,65.73666666666665,928.5625999999995
6,56,0.07030482419696703,0.025544765171673076,0.8179725472366441,200,6,3,5,236.0,93.45166666666665,10850.60294166669
7,56,0.07897690806812321,0.011610488729693242,0.7050567648509622,200,5,3,8,102.0,74.67916666666666,241.27949652777772
8,56,0.03779345261920767,0.022164252373844832,0.9700020114190971,200,3,2,6,291.0,138.51833333333335,8206.351052777776
9,56,0.08344833496105843,0.0771167319313948,0.610262868076416,200,8,4,7,117.0,76.57750000000001,230.91392430555553
10,56,0.09747270334604348,0.03320645002099772,0.7977442835424989,200,7,5,5,286.0,155.99,10810.764344444433
11,56,0.045750202665898715,0.029876225555223797,0.8758953384518636,200,9,2,5,241.0,117.70749999999997,4755.214652083333
12,56,0.09362099431980739,0.03367997607337461,0.8193782365592457,200,6,2,6,87.0,68.06666666666666,178.71541666666656
13,56,0.06716004951738412,0.07612564070063502,0.6516398490701517,200,5,2,7,104.5,74.77916666666665,245.91546874999986
14,56,0.06741068946616237,0.015212078824677497,0.683650944635774,200,6,3,8,206.0,104.42749999999998,4901.33092430556
1,56,0.07559360423593639,0.037864173724284245,0.7298222229569323,200,5,2,6,221.0,85.65333333333334,9112.069266666673
2,56,0.026128459281085904,0.037531018762779124,0.8902018701540515,200,4,4,5,311.0,139.59333333333333,14227.594066666657
3,56,0.023918021156272527,0.0702508979520299,0.9316439156230264,200,7,3,7,226.0,120.08833333333334,8157.592474999996
4,56,0.02122682534285799,0.09581009133354199,0.7891985435610096,200,8,2,7,119.5,76.18166666666666,343.4986638888889
5,56,0.024154761804337205,0.06932109891045293,0.8604556419204212,200,6,3,5,112.0,65.73666666666665,928.5625999999995
6,56,0.07030482419696703,0.025544765171673076,0.8179725472366441,200,6,3,5,236.0,93.45166666666665,10850.60294166669
7,56,0.07897690806812321,0.011610488729693242,0.7050567648509622,200,5,3,8,102.0,74.67916666666666,241.27949652777772
8,56,0.03779345261920767,0.022164252373844832,0.9700020114190971,200,3,2,6,291.0,138.51833333333335,8206.351052777776
9,56,0.08344833496105843,0.0771167319313948,0.610262868076416,200,8,4,7,117.0,76.57750000000001,230.91392430555553
10,56,0.09747270334604348,0.03320645002099772,0.7977442835424989,200,7,5,5,286.0,155.99,10810.764344444433
11,56,0.045750202665898715,0.029876225555223797,0.8758953384518636,200,9,2,5,241.0,117.70749999999997,4755.214652083333
12,56,0.09362099431980739,0.03367997607337461,0.8193782365592457,200,6,2,6,87.0,68.06666666666666,178.71541666666656
13,56,0.06716004951738412,0.07612564070063502,0.6516398490701517,200,5,2,7,104.5,74.77916666666665,245.91546874999986
14,56,0.06741068946616237,0.015212078824677497,0.683650944635774,200,6,3,8,206.0,104.42749999999998,4901.33092430556
15,56,0.034546392056603904,0.07874802110452378,0.9150209539943615,200,9,4,7,102.0,79.22916666666669,328.86088541666686
