Trial,Seed,MUTATION_RATE,PHASE2_MUTATION_RATE,CROSSOVER_RATE,POPULATION_SIZE,TOURNAMENT_SIZE,phase1MaxDepth,phase2MaxDepth,BestFitness,AverageFitness,FitnessVariance
5,3894,0.05321231012607629,0.011934040620876014,0.8622616230830819,200,4,5,5,87.0,68.58916666666664,164.6528131944446
6,3894,0.01262733641002569,0.05123230210116274,0.7964705208335752,200,7,5,5,206.0,120.24,4747.988511111108
7,3894,0.03015162071568346,0.01608643162891896,0.7027236296681457,200,10,4,6,206.0,123.12916666666668,4815.397829861106
8,3894,0.0933094471014701,0.09851825504665035,0.8117470027095761,200,5,3,6,171.0,72.88833333333335,425.3510027777778
9,3894,0.08882854540151529,0.06149400831884739,0.839365973995026,200,6,3,6,206.0,116.45833333333334,4015.350763888888
10,3894,0.031909771972351446,0.05425322992477716,0.7998377151826882,200,3,4,6,87.0,69.94666666666667,127.94229444444446
11,3894,0.0791097045576009,0.07745339093062527,0.6277812383988969,200,9,2,5,206.0,79.61666666666667,6952.812500000013
12,3894,0.04957054136715863,0.07007828109756249,0.8782663364688794,200,5,4,7,87.0,67.87166666666666,153.1836694444445
1,3894,0.08183383964233107,0.017401530007821804,0.9657405312087498,200,9,4,8,94.5,69.13916666666665,171.0352854166666
2,3894,0.07447933188207741,0.07005702160054499,0.9720026055841235,200,10,3,8,102.0,76.27416666666667,382.6847631944445
3,3894,0.0619123226907531,0.08364515102849303,0.7789360050433463,200,8,3,5,107.0,69.70833333333333,399.1643749999996
4,3894,0.05808350536630591,0.04302491176702771,0.94930075258968,200,6,4,5,87.0,67.02166666666668,164.09328055555557
5,3894,0.05321231012607629,0.011934040620876014,0.8622616230830819,200,4,5,5,87.0,68.58916666666664,164.6528131944446
6,3894,0.01262733641002569,0.05123230210116274,0.7964705208335752,200,7,5,5,206.0,120.24,4747.988511111108
7,3894,0.03015162071568346,0.01608643162891896,0.7027236296681457,200,10,4,6,206.0,123.12916666666668,4815.397829861106
8,3894,0.0933094471014701,0.09851825504665035,0.8117470027095761,200,5,3,6,171.0,72.88833333333335,425.3510027777778
9,3894,0.08882854540151529,0.06149400831884739,0.839365973995026,200,6,3,6,206.0,116.45833333333334,4015.350763888888
10,3894,0.031909771972351446,0.05425322992477716,0.7998377151826882,200,3,4,6,87.0,69.94666666666667,127.94229444444446
11,3894,0.0791097045576009,0.07745339093062527,0.6277812383988969,200,9,2,5,206.0,79.61666666666667,6952.812500000013
12,3894,0.04957054136715863,0.07007828109756249,0.8782663364688794,200,5,4,7,87.0,67.87166666666666,153.1836694444445
13,3894,0.055937646718163245,0.033397019402039096,0.8122754362745015,200,4,4,5,146.0,20.44,2566.4464000000035
1,3894,0.08183383964233107,0.017401530007821804,0.9657405312087498,200,9,4,8,94.5,69.13916666666665,171.0352854166666
2,3894,0.07447933188207741,0.07005702160054499,0.9720026055841235,200,10,3,8,102.0,76.27416666666667,382.6847631944445
3,3894,0.0619123226907531,0.08364515102849303,0.7789360050433463,200,8,3,5,107.0,69.70833333333333,399.1643749999996
4,3894,0.05808350536630591,0.04302491176702771,0.94930075258968,200,6,4,5,87.0,67.02166666666668,164.09328055555557
5,3894,0.05321231012607629,0.011934040620876014,0.8622616230830819,200,4,5,5,87.0,68.58916666666664,164.6528131944446
6,3894,0.01262733641002569,0.05123230210116274,0.7964705208335752,200,7,5,5,206.0,120.24,4747.988511111108
7,3894,0.03015162071568346,0.01608643162891896,0.7027236296681457,200,10,4,6,206.0,123.12916666666668,4815.397829861106
8,3894,0.0933094471014701,0.09851825504665035,0.8117470027095761,200,5,3,6,171.0,72.88833333333335,425.3510027777778
9,3894,0.08882854540151529,0.06149400831884739,0.839365973995026,200,6,3,6,206.0,116.45833333333334,4015.350763888888
10,3894,0.031909771972351446,0.05425322992477716,0.7998377151826882,200,3,4,6,87.0,69.94666666666667,127.94229444444446
11,3894,0.0791097045576009,0.07745339093062527,0.6277812383988969,200,9,2,5,206.0,79.61666666666667,6952.812500000013
12,3894,0.04957054136715863,0.07007828109756249,0.8782663364688794,200,5,4,7,87.0,67.87166666666666,153.1836694444445
13,3894,0.055937646718163245,0.033397019402039096,0.8122754362745015,200,4,4,5,146.0,20.44,2566.4464000000035
14,3894,0.011167315066968437,0.07965079714269993,0.7095401069311711,200,3,2,6,126.0,68.60083333333333,218.49740208333324
1,3894,0.08183383964233107,0.017401530007821804,0.9657405312087498,200,9,4,8,94.5,69.13916666666665,171.0352854166666
2,3894,0.07447933188207741,0.07005702160054499,0.9720026055841235,200,10,3,8,102.0,76.27416666666667,382.6847631944445
3,3894,0.0619123226907531,0.08364515102849303,0.7789360050433463,200,8,3,5,107.0,69.70833333333333,399.1643749999996
4,3894,0.05808350536630591,0.04302491176702771,0.94930075258968,200,6,4,5,87.0,67.02166666666668,164.09328055555557
5,3894,0.05321231012607629,0.011934040620876014,0.8622616230830819,200,4,5,5,87.0,68.58916666666664,164.6528131944446
6,3894,0.01262733641002569,0.05123230210116274,0.7964705208335752,200,7,5,5,206.0,120.24,4747.988511111108
7,3894,0.03015162071568346,0.01608643162891896,0.7027236296681457,200,10,4,6,206.0,123.12916666666668,4815.397829861106
8,3894,0.0933094471014701,0.09851825504665035,0.8117470027095761,200,5,3,6,171.0,72.88833333333335,425.3510027777778
9,3894,0.08882854540151529,0.06149400831884739,0.839365973995026,200,6,3,6,206.0,116.45833333333334,4015.350763888888
10,3894,0.031909771972351446,0.05425322992477716,0.7998377151826882,200,3,4,6,87.0,69.94666666666667,127.94229444444446
11,3894,0.0791097045576009,0.07745339093062527,0.6277812383988969,200,9,2,5,206.0,79.61666666666667,6952.812500000013
12,3894,0.04957054136715863,0.07007828109756249,0.8782663364688794,200,5,4,7,87.0,67.87166666666666,153.1836694444445
13,3894,0.055937646718163245,0.033397019402039096,0.8122754362745015,200,4,4,5,146.0,20.44,2566.4464000000035
14,3894,0.011167315066968437,0.07965079714269993,0.7095401069311711,200,3,2,6,126.0,68.60083333333333,218.49740208333324
15,3894,0.09480961048788251,0.016201825369742188,0.7580913311719533,200,3,5,8,107.0,70.90333333333335,257.6552388888888
